Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5
01-01-2014,00 - 01,0,"405,8",0,822,0,0,"843,3",0,0,950,0,0,"609,7",0,250,0,0,"1025,2",0,0
01-01-2014,01 - 02,0,"279,7",0,911,0,0,"991,7",0,0,950,0,0,"469,4",0,250,0,0,"950,4",0,0
01-01-2014,02 - 03,0,"314,2",0,903,0,"0,2",1000,0,0,950,0,"8,1","407,1",0,250,0,0,840,0,0
01-01-2014,03 - 04,0,"495,5",0,920,0,0,1000,0,0,950,0,"32,7","375,8",0,250,0,0,"624,7",0,0
01-01-2014,04 - 05,0,"777,5",0,"912,7",0,0,1000,0,0,950,0,"7,1","400,9",0,250,0,0,"375,2",0,0
01-01-2014,05 - 06,0,"1042,1",0,535,0,0,1000,0,0,950,0,"78,4","331,8",0,200,0,0,"434,9",0,0
01-01-2014,06 - 07,0,"1049,3",0,555,0,"0,2",1000,0,0,950,0,"178,8","213,2",0,150,0,0,"491,5",0,0
01-01-2014,07 - 08,0,"1288,1",0,"357,5",0,"0,1",1000,0,0,950,0,"317,9","1,1",0,50,0,0,"528,6",0,0
01-01-2014,08 - 09,0,"1396,8",0,"224,6",0,"48,5",1000,0,0,950,0,355,"0,2",0,50,0,0,"613,6",0,0
01-01-2014,09 - 10,0,"1434,9",0,"494,4",0,"157,5",1000,0,0,950,0,411,0,0,50,0,0,"500,9",0,0
01-01-2014,10 - 11,0,"1264,5",0,693,0,"181,3",1000,0,0,950,0,"426,5","0,1",0,0,0,0,591,0,0
01-01-2014,11 - 12,0,"911,5",0,"922,9",0,"0,1",1000,0,0,950,0,"301,6","88,3",0,0,0,0,"806,1",0,0
01-01-2014,12 - 13,0,"733,9",0,"1051,4",0,0,1000,0,0,950,0,246,"170,6",0,0,0,0,"879,1",0,0
01-01-2014,13 - 14,0,"851,9",0,"921,8",0,0,1000,0,0,950,0,"213,5","214,5",0,0,0,0,"921,5",0,"0,2"
01-01-2014,14 - 15,0,"1094,4",0,"617,7",0,"0,1",1000,0,0,950,0,"174,3","276,3",0,0,0,0,"993,3",0,0
01-01-2014,15 - 16,0,"1394,5",0,307,0,0,1000,0,0,"728,5",0,"141,1","417,4",0,0,0,0,"1116,8",0,0
01-01-2014,16 - 17,0,1432,"1071,5",0,0,0,229,0,0,"128,5",0,"529,7",650,0,0,0,0,"2571,6",0,0
01-01-2014,17 - 18,0,"1463,3","1647,6",0,"95,6",0,0,0,0,0,0,"688,7","570,8",0,0,0,0,"3099,1",0,0
01-01-2014,18 - 19,0,"1369,3","1261,2",0,"0,1",0,24,0,0,0,0,644,650,0,0,0,0,2753,0,0
01-01-2014,19 - 20,0,"1509,5","770,2",0,0,0,"412,6",0,0,"349,9",0,"367,8",650,0,0,0,0,"2000,2",0,0
01-01-2014,20 - 21,0,"1042,8",0,"539,6",0,0,1000,0,0,950,0,"57,4","549,1",0,0,0,0,"1102,1",0,0
01-01-2014,21 - 22,0,"838,2",0,"640,6",0,0,1000,0,0,950,0,"33,2","525,2",0,0,0,0,"1093,4",0,0
01-01-2014,22 - 23,0,"686,7",0,"845,5",0,"0,3",1000,0,0,950,0,"92,6","339,8",0,0,0,0,944,0,0
01-01-2014,23 - 00,0,786,0,"812,1",0,"21,9",1000,0,0,950,0,289,"0,1",0,0,0,0,"702,2",0,0
02-01-2014,00 - 01,0,"629,2",0,"1066,1",0,0,1000,0,0,950,0,"54,7","191,5",0,250,0,0,"734,4",0,0
02-01-2014,01 - 02,0,"832,9",0,"929,1",0,0,1000,0,0,950,0,"151,9","70,2",0,250,0,0,"542,3",0,0
02-01-2014,02 - 03,0,"774,3",0,"990,9",0,"0,1",1000,0,0,950,0,158,"77,1",0,250,0,0,"463,6",0,0
02-01-2014,03 - 04,0,"815,1",0,914,0,"0,1",1000,0,0,950,0,"134,6","112,2",0,250,0,0,"499,2",0,0
02-01-2014,04 - 05,0,956,0,"657,7",0,"0,2",1000,0,0,950,0,"106,6","155,1",0,250,0,0,"604,3",0,0
02-01-2014,05 - 06,0,"1068,7",0,"367,4",0,0,"924,7",0,0,950,0,0,"450,1",0,250,0,0,"917,1",0,0
02-01-2014,06 - 07,0,"1299,8",0,"186,6",0,0,"817,8",0,0,950,0,0,"493,8",0,150,0,0,"1171,6",0,0
02-01-2014,07 - 08,0,"1611,8",0,77,0,0,"805,8",0,0,950,0,72,650,0,50,0,0,"1325,2",0,0
02-01-2014,08 - 09,0,"1399,3",0,0,0,0,"607,6",0,0,"398,8",0,"252,3","560,6",0,50,0,0,"1747,3",0,0
