date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
34 - 19,"342,96","347,64","347,64","347,64","366,94","476,70","369,11","375,38","328,83","328,83","328,83","349,56","349,56","347,95","476,70","476,70","476,70",,,,,
35 - 19,"354,60","377,29","377,29","381,24","414,99","504,57","419,15","424,72","322,50","322,50","322,50","374,78","374,78","352,95","504,57","505,93","505,93",,,,,
36 - 19,"340,76","357,45","357,45","365,68","373,54","505,35","346,72","374,98","298,64","306,28","298,64","354,86","354,86","352,43","505,35","507,64","507,64",,,,,
37 - 19,"308,56","317,78","317,78","320,54","337,63","448,82","336,36","355,51","286,14","286,14","286,14","317,70","317,70","313,51","449,42","457,90","458,07",,,,,
38 - 19,"326,61","339,92","339,92","347,23","371,37","444,76","357,72","376,39","284,10","284,10","284,10","326,84","326,84","332,56","445,30","443,14","442,61",,,,,
39 - 19,"334,53","342,98","342,98","352,87","380,34","558,61","380,63","388,31","313,73","313,73","313,73","327,12","327,12","327,44","558,61","551,91","551,11",,,,,
40 - 19,"351,37","349,31","349,31","349,71","400,37","442,52","378,42","400,66","349,91","349,91","349,91","349,54","349,54","336,37","455,44","459,18","458,06",,,,,
41 - 19,"374,70","358,72","358,72","371,34","438,17","498,55","320,04","423,57","363,48","363,48","363,58","360,53","360,53","360,53","501,67","485,41","473,20",,,,,
42 - 19,"373,16","379,59","379,59","422,53","426,36","486,99","409,09","420,68","364,09","362,89","364,09","375,05","375,05","372,18","488,18","477,03","473,58",,,,,
43 - 19,"373,22","356,08","356,08","358,46","398,64","425,70","380,58","391,26","380,77","380,53","380,77","369,99","369,99","367,40","452,24","460,77","460,77",,,,,
44 - 19,"397,40","388,63","388,63","390,86","426,06","455,85","409,13","425,33","398,35","398,35","398,35","390,93","390,93","390,79","471,52","468,66","460,29",,,,,
45 - 19,"460,01","451,73","451,73","456,50","462,67","501,03","447,85","459,47","454,12","452,26","454,12","451,74","451,74","441,29","501,37","492,77","488,49",,,,,
46 - 19,"425,73","414,52","414,52","430,06","430,76","462,41","414,84","428,07","433,57","433,11","433,57","414,57","414,57","414,52","462,41","454,05","444,10",,,,,
47 - 19,"413,77","405,96","405,96","407,03","421,26","436,32","427,95","431,53","413,07","413,07","415,41","405,43","405,43","403,81","436,32","436,28","434,06",,,,,
48 - 19,"423,83","413,50","413,50","418,38","419,45","468,93","436,44","436,34","425,54","425,54","427,46","413,55","413,55","410,00","468,93","468,93","468,73",,,,,
49 - 19,"389,34","366,27","366,27","389,33","403,78","409,90","345,53","370,25","413,85","409,18","414,61","375,63","375,63","374,62","423,24","423,24","423,24",,,,,
50 - 19,"373,19","352,03","352,03","365,15","374,60","382,73","334,86","348,62","387,55","387,27","387,59","362,96","362,96","362,92","392,99","392,99","392,42",,,,,
51 - 19,"375,81","368,94","368,94","369,90","376,48","424,98","358,51","374,01","378,12","378,10","378,12","369,64","369,64","369,55","424,98","424,69","422,28",,,,,
52 - 19,"351,11","343,76","343,76","343,76","344,04","357,50","337,91","342,05","356,78","356,78","356,78","344,26","344,26","343,63","357,85","357,85","357,48",,,,,
