Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5,NO3 > NO5,NO5 > NO3
01-01-2017,00 - 01,0,"1416,2",0,398,0,250,960,0,0,1332,0,0,0,32,100,0,0,1133,0,"0,1",200,0
01-01-2017,01 - 02,0,"1299,6",0,520,0,250,1000,0,0,1332,0,"4,9",0,"19,5",100,0,0,"996,9",0,0,200,0
01-01-2017,02 - 03,0,"1270,8",0,558,0,"248,2",1000,0,0,1332,0,"7,7",0,0,100,0,0,"915,7",0,0,200,0
01-01-2017,03 - 04,0,"1269,6",0,566,0,250,1000,0,0,1332,0,"103,1",0,"162,7",100,0,0,"900,2",0,0,200,0
01-01-2017,04 - 05,0,"1267,6",0,561,0,"190,6","985,4",0,0,1332,0,0,0,0,100,0,0,908,0,0,200,0
01-01-2017,05 - 06,0,"1266,9",0,548,0,"145,9","681,6",0,0,1332,0,0,0,0,100,0,0,"1001,7",0,0,200,0
01-01-2017,06 - 07,0,"1282,2",0,598,0,0,"446,3",0,0,1332,0,"117,3","67,4",0,100,0,0,"1099,7",0,0,200,0
01-01-2017,07 - 08,0,"1100,6",0,767,0,0,"344,8",0,0,1332,0,"181,6","175,8",0,100,0,0,"1177,2",0,0,200,0
01-01-2017,08 - 09,0,"1129,5",0,953,0,0,"243,6",0,0,1332,0,"308,7","323,8",0,100,0,0,"1071,8",0,0,200,0
01-01-2017,09 - 10,0,"1001,2",0,1003,0,0,"423,2",0,0,1332,0,"213,7","77,4",0,100,0,0,1358,0,0,200,0
01-01-2017,10 - 11,0,"1151,3",0,912,"6,1",0,0,0,0,1332,0,"568,8",550,0,100,0,0,"1454,2",0,0,200,0
01-01-2017,11 - 12,0,"1179,9",0,939,200,0,0,"39,7",0,1332,0,580,550,0,100,0,0,"1521,3",0,0,200,0
01-01-2017,12 - 13,0,"1178,4",0,966,200,0,0,"201,8",0,1332,0,"724,9",550,0,100,0,0,"1534,9",0,0,200,0
01-01-2017,13 - 14,0,"1109,6",0,948,200,0,0,"303,5",0,"1124,8",0,"740,9",550,0,100,0,0,"1665,3",0,0,200,0
01-01-2017,14 - 15,0,"1414,6",0,"44,9",200,0,0,"441,9",0,"524,8",0,"780,5",550,0,100,0,0,"2276,4",0,0,200,0
01-01-2017,15 - 16,0,"2021,8","750,8",0,200,0,0,600,"75,2",0,0,"824,7",550,0,100,0,0,"2584,4",0,0,"86,3",0
01-01-2017,16 - 17,0,"1982,1","766,3",0,200,0,0,600,"675,2",0,0,"846,9",550,0,100,0,0,"2717,9",0,0,"85,1",0
01-01-2017,17 - 18,0,"1893,6",795,0,200,0,0,600,1034,0,0,"855,3",550,0,100,0,0,"2806,4",0,0,"99,3",0
01-01-2017,18 - 19,0,1937,"861,7",0,200,0,0,"599,9","784,5",0,0,"855,2",550,0,100,0,0,2763,0,0,"109,7",0
01-01-2017,19 - 20,0,"1918,3","787,7",0,200,0,0,600,"428,6",0,0,"849,8",550,0,100,0,0,2643,0,0,"105,8",0
01-01-2017,20 - 21,0,"1607,8",497,0,200,0,0,600,"264,6",0,0,"846,5",550,0,100,0,0,"2578,8",0,0,"145,2",0
01-01-2017,21 - 22,0,"1245,8","143,5",0,200,0,0,600,"234,3",0,0,"846,7",550,0,100,0,0,2477,0,0,"156,1",0
01-01-2017,22 - 23,0,"1014,8",0,"156,7",200,0,0,"536,9",0,0,0,"829,4",550,0,100,0,0,"2267,4",0,0,200,0
