Regulating prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 24-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
20-01-2021,14 - 15,"382,20","382,20","382,20","382,20","382,20","382,20","382,20","382,20","382,20","382,20",,,,,,,,,,,,,,
20-01-2021,15 - 16,"394,56","394,56","394,56","394,56","387,70","387,70","387,70","387,70","394,56","394,56",,,,,,,,,,,,,,
20-01-2021,16 - 17,"408,47","408,47","408,47","408,47","383,44","383,44","383,44","383,44","408,47","408,47",,,,,,,,,,,,,,
20-01-2021,17 - 18,"472,66","472,66","472,66","472,66","377,52","377,52","377,52","377,52","472,66","472,66",,,,,,,,,,,,,,
20-01-2021,18 - 19,"419,69","419,69","419,69","419,69","377,94","377,94","377,94","377,94","419,69","419,69",,,,,,,,,,,,,,
20-01-2021,19 - 20,"406,40","406,40","406,40","406,40","369,42","369,42","369,42","369,42","406,40","406,40",,,,,,,,,,,,,,
20-01-2021,20 - 21,"370,67","370,67","370,67","370,67","369,01","369,01","369,01","369,01","370,67","370,67",,,,,,,,,,,,,,
20-01-2021,21 - 22,"334,32","334,32","334,32","334,32","334,32","334,32","334,32","334,32","334,32","334,32",,,,,,,,,,,,,,
20-01-2021,22 - 23,"306,28","306,28","306,28","306,28","306,28","306,28","306,28","306,28","306,28","306,28",,,,,,,,,,,,,,
20-01-2021,23 - 00,"264,94","264,94","264,94","264,94","262,76","262,76","262,76","262,76","264,94","264,94",,,,,,,,,,,,,,
21-01-2021,00 - 01,"257,01","257,01","257,01","257,01","257,01","257,01","257,01","257,01","257,01","257,01",,,,,,,,,,,,,,
21-01-2021,01 - 02,"250,39","239,53","250,39","239,53","250,39","222,26","250,39","222,26","250,39","239,53",,,,,,,,,,,,,,
21-01-2021,02 - 03,"250,39","215,64","250,39","215,64","250,39","215,64","250,39","215,64","250,39","215,64",,,,,,,,,,,,,,
21-01-2021,03 - 04,"250,39","206,54","250,39","206,54","250,39","206,54","250,39","206,54","250,39","206,54",,,,,,,,,,,,,,
21-01-2021,04 - 05,"222,46","222,46","222,46","222,46","222,46","222,46","222,46","222,46","222,46","222,46",,,,,,,,,,,,,,
21-01-2021,05 - 06,"254,21","254,21","254,21","254,21","254,21","254,21","254,21","254,21","254,21","254,21",,,,,,,,,,,,,,
21-01-2021,06 - 07,"284,10","258,56","284,10","258,56","284,10","258,56","284,10","258,56","284,10","258,56",,,,,,,,,,,,,,
21-01-2021,07 - 08,"365,29","289,58","365,29","289,58","306,55","289,58","306,55","289,58","365,29","289,58",,,,,,,,,,,,,,
21-01-2021,08 - 09,"385,04","341,30","385,04","341,30","305,61","305,61","305,61","305,61","385,04","341,30",,,,,,,,,,,,,,
21-01-2021,09 - 10,"364,98","280,28","364,98","280,28","307,48","280,28","307,48","280,28","364,98","280,28",,,,,,,,,,,,,,
21-01-2021,10 - 11,"341,40","280,28","341,40","280,28","305,51","280,28","305,51","280,28","341,40","280,28",,,,,,,,,,,,,,
21-01-2021,11 - 12,"345,23","297,86","345,23","297,86","304,89","297,86","304,89","297,86","345,23","297,86",,,,,,,,,,,,,,
21-01-2021,12 - 13,"348,43","289,58","348,43","289,58","302,20","289,58","302,20","289,58","348,43","289,58",,,,,,,,,,,,,,
21-01-2021,13 - 14,"365,50","279,24","365,50","279,24","301,79","279,24","301,79","279,24","365,50","279,24",,,,,,,,,,,,,,
21-01-2021,14 - 15,"374,60","279,24","374,60","279,24","299,82","279,24","299,82","279,24","374,60","279,24",,,,,,,,,,,,,,
21-01-2021,15 - 16,"378,63","279,24","378,63","279,24","296,10","279,24","296,10","279,24","378,63","279,24",,,,,,,,,,,,,,
21-01-2021,16 - 17,"392,28","300,00","392,28","300,00","295,17","250,00","295,17","250,00","392,28","300,00",,,,,,,,,,,,,,
21-01-2021,17 - 18,"408,73","351,64","408,73","351,64","289,58","248,73","289,58","248,73","408,73","351,64",,,,,,,,,,,,,,
21-01-2021,18 - 19,"384,94","384,94","384,94","384,94","291,86","227,53","291,86","227,53","384,94","384,94",,,,,,,,,,,,,,
21-01-2021,19 - 20,"369,32","341,30","369,32","341,30","292,07","206,85","292,07","206,85","369,32","341,30",,,,,,,,,,,,,,
21-01-2021,20 - 21,"331,06","289,58","331,06","289,58","291,45","206,85","291,45","206,85","331,06","289,58",,,,,,,,,,,,,,
21-01-2021,21 - 22,"311,10","260,00","311,10","260,00","294,24","206,85","294,24","206,85","311,10","260,00",,,,,,,,,,,,,,
21-01-2021,22 - 23,"283,69","258,56","283,69","258,56","283,69","258,56","283,69","258,56","283,69","258,56",,,,,,,,,,,,,,
21-01-2021,23 - 00,"257,11","257,11","257,11","257,11","249,15","249,15","249,15","249,15","257,11","257,11",,,,,,,,,,,,,,
22-01-2021,00 - 01,"361,31","259,00","361,31","259,00","222,25","222,25","222,25","222,25","361,31","259,00",,,,,,,,,,,,,,
22-01-2021,01 - 02,"330,34","218,54","330,34","218,54","227,11","123,88","227,11","218,54","330,34","218,54",,,,,,,,,,,,,,
22-01-2021,02 - 03,"185,50","61,94","185,50","61,94","203,78","61,94","203,78","203,78","203,78","61,94",,,,,,,,,,,,,,
22-01-2021,03 - 04,"130,38","70,00","130,38","70,00","203,88","82,58","203,88","82,58","203,88","70,00",,,,,,,,,,,,,,
22-01-2021,04 - 05,"209,45","70,00","209,45","70,00","209,45","41,29","209,45","5,16","209,45","70,00",,,,,,,,,,,,,,
22-01-2021,05 - 06,"278,00","232,27","278,00","232,27","278,00","232,27","276,86","232,27","278,00","232,27",,,,,,,,,,,,,,
22-01-2021,06 - 07,"324,66","324,66","324,66","324,66","286,77","286,77","277,69","277,69","324,66","324,66",,,,,,,,,,,,,,
22-01-2021,07 - 08,"379,47","379,47","379,47","379,47","288,22","288,22","284,61","284,61","379,47","379,47",,,,,,,,,,,,,,
22-01-2021,08 - 09,"454,21","428,51","454,21","428,51","288,84","288,84","288,84","288,84","454,21","428,51",,,,,,,,,,,,,,
22-01-2021,09 - 10,"470,00","409,00","470,00","409,00","291,11","291,11","291,11","291,11","470,00","409,00",,,,,,,,,,,,,,
22-01-2021,10 - 11,"454,21","398,67","454,21","398,67","294,31","294,31","291,42","291,42","454,21","398,67",,,,,,,,,,,,,,
22-01-2021,11 - 12,"386,70","386,70","386,70","386,70","299,47","299,47","290,70","290,70","386,70","386,70",,,,,,,,,,,,,,
22-01-2021,12 - 13,"375,65","375,65","375,65","375,65","299,68","299,68","288,84","288,84","375,65","375,65",,,,,,,,,,,,,,
22-01-2021,13 - 14,"369,87","300,40","369,87","300,40","302,67","300,40","286,57","286,57","369,87","300,40",,,,,,,,,,,,,,
22-01-2021,14 - 15,"364,09","278,72","364,09","278,72","305,15","278,72","288,53","278,72","364,09","278,72",,,,,,,,,,,,,,
22-01-2021,15 - 16,"363,16","278,72","363,16","278,72","305,25","278,72","291,42","278,72","363,16","278,72",,,,,,,,,,,,,,
22-01-2021,16 - 17,"368,63","280,00","368,63","280,00","302,57","280,00","295,44","280,00","368,63","280,00",,,,,,,,,,,,,,
22-01-2021,17 - 18,"373,90","299,37","373,90","299,37","295,86","227,11","290,90","227,11","373,90","299,37",,,,,,,,,,,,,,
22-01-2021,18 - 19,"366,16","299,37","366,16","299,37","289,46","209,04","287,91","209,04","366,16","299,37",,,,,,,,,,,,,,
22-01-2021,19 - 20,"344,27","273,56","344,27","273,56","290,80","216,47","284,61","216,47","344,27","273,56",,,,,,,,,,,,,,
22-01-2021,20 - 21,"302,77","258,08","302,77","258,08","288,73","216,58","279,86","216,58","302,77","258,08",,,,,,,,,,,,,,
22-01-2021,21 - 22,"289,35","247,75","289,35","247,75","287,29","208,94","278,20","208,94","289,35","247,75",,,,,,,,,,,,,,
22-01-2021,22 - 23,"281,61","206,46","281,61","206,46","276,35","206,46","276,35","206,46","281,61","206,46",,,,,,,,,,,,,,
22-01-2021,23 - 00,"279,86","178,69","279,86","178,69","262,20","178,69","262,20","178,69","279,86","178,69",,,,,,,,,,,,,,
23-01-2021,00 - 01,"291,34","180,94","291,34","180,94","265,00","180,94","265,00","180,94","291,34","180,94",,,,,,,,,,,,,,
23-01-2021,01 - 02,"299,24","299,24","299,24","299,24","255,97","255,97","255,97","255,97","299,24","299,24",,,,,,,,,,,,,,
23-01-2021,02 - 03,"305,39","305,39","305,39","305,39","255,67","255,67","255,67","255,67","305,39","305,39",,,,,,,,,,,,,,
23-01-2021,03 - 04,"310,82","310,82","310,82","310,82","266,64","266,64","266,64","266,64","310,82","310,82",,,,,,,,,,,,,,
23-01-2021,04 - 05,"320,35","320,35","320,35","320,35","278,84","278,84","278,84","278,84","320,35","320,35",,,,,,,,,,,,,,
23-01-2021,05 - 06,"330,60","330,60","330,60","330,60","311,33","311,33","311,33","311,33","330,60","330,60",,,,,,,,,,,,,,
23-01-2021,06 - 07,"348,44","287,04","348,44","287,04","316,46","287,04","316,46","287,04","348,44","287,04",,,,,,,,,,,,,,
23-01-2021,07 - 08,"355,72","306,72","355,72","306,72","346,80","306,72","346,80","306,72","355,72","306,72",,,,,,,,,,,,,,
23-01-2021,08 - 09,"363,92","307,54","363,92","307,54","363,92","307,54","363,92","307,54","363,92","307,54",,,,,,,,,,,,,,
23-01-2021,09 - 10,"371,10","307,54","371,10","307,54","371,10","307,54","371,10","307,54","371,10","307,54",,,,,,,,,,,,,,
23-01-2021,10 - 11,"382,68","308,16","382,68","308,16","373,15","373,15","373,15","308,16","382,68","308,16",,,,,,,,,,,,,,
23-01-2021,11 - 12,"386,99","326,61","386,99","326,61","366,69","366,69","366,69","326,61","386,99","326,61",,,,,,,,,,,,,,
23-01-2021,12 - 13,"388,42","317,79","388,42","317,79","369,05","369,05","369,05","317,79","388,42","317,79",,,,,,,,,,,,,,
23-01-2021,13 - 14,"389,34","317,79","389,34","317,79","359,10","359,10","359,10","317,79","389,34","317,79",,,,,,,,,,,,,,
23-01-2021,14 - 15,"391,70","311,95","391,70","311,95","349,77","349,77","349,77","311,95","391,70","311,95",,,,,,,,,,,,,,
23-01-2021,15 - 16,"406,67","317,79","406,67","317,79","358,80","358,80","358,80","317,79","406,67","317,79",,,,,,,,,,,,,,
23-01-2021,16 - 17,"579,10","329,78","579,10","329,78","368,64","368,64","368,64","329,78","579,10","329,78",,,,,,,,,,,,,,
23-01-2021,17 - 18,"631,28","350,00","631,28","350,00","369,56","350,00","369,56","350,00","631,28","350,00",,,,,,,,,,,,,,
23-01-2021,18 - 19,"646,14","359,82","646,14","359,82","353,46","353,46","353,46","353,46","646,14","359,82",,,,,,,,,,,,,,
23-01-2021,19 - 20,"591,09","369,05","591,09","369,05","365,15","365,15","365,15","365,15","591,09","369,05",,,,,,,,,,,,,,
23-01-2021,20 - 21,"420,41","358,80","420,41","358,80","372,12","358,80","372,12","358,80","420,41","358,80",,,,,,,,,,,,,,
23-01-2021,21 - 22,"400,21","358,80","400,21","358,80","373,76","358,80","373,76","358,80","400,21","358,80",,,,,,,,,,,,,,
23-01-2021,22 - 23,"399,80","383,19","399,80","383,19","399,80","383,19","399,80","383,19","399,80","383,19",,,,,,,,,,,,,,
23-01-2021,23 - 00,"395,29","373,97","395,29","373,97","395,29","373,97","395,29","373,97","395,29","373,97",,,,,,,,,,,,,,
24-01-2021,00 - 01,"400,00","391,23","400,00","391,23","400,00","391,23","400,00","301,56","400,00","391,23",,,,,,,,,,,,,,
24-01-2021,01 - 02,"391,64","391,64","391,64","391,64","391,64","391,64","299,28","299,28","391,64","391,64",,,,,,,,,,,,,,
24-01-2021,02 - 03,"390,71","356,41","390,71","356,41","390,71","356,41","296,39","296,39","390,71","356,41",,,,,,,,,,,,,,
24-01-2021,03 - 04,"391,33","351,25","391,33","351,25","391,33","351,25","295,87","295,87","391,33","351,25",,,,,,,,,,,,,,
24-01-2021,04 - 05,"393,81","351,25","393,81","351,25","393,81","351,25","295,36","295,36","393,81","351,25",,,,,,,,,,,,,,
24-01-2021,05 - 06,"400,22","353,31","400,22","353,31","400,22","353,31","296,80","296,80","400,22","353,31",,,,,,,,,,,,,,
24-01-2021,06 - 07,"406,52","354,35","406,52","354,35","400,84","354,35","295,77","295,77","406,52","354,35",,,,,,,,,,,,,,
24-01-2021,07 - 08,"420,05","375,00","420,05","375,00","395,26","375,00","299,08","299,08","420,05","375,00",,,,,,,,,,,,,,
24-01-2021,08 - 09,"460,24","375,00","460,24","375,00","393,40","375,00","299,39","299,39","460,24","375,00",,,,,,,,,,,,,,
24-01-2021,09 - 10,"506,11","375,00","506,11","375,00","399,91","375,00","305,79","305,79","506,11","375,00",,,,,,,,,,,,,,
24-01-2021,10 - 11,"531,42","370,00","531,42","370,00","420,15","370,00","314,47","314,47","531,42","370,00",,,,,,,,,,,,,,
24-01-2021,11 - 12,"561,38","370,00","561,38","370,00","440,30","370,00","320,15","320,15","561,38","370,00",,,,,,,,,,,,,,
24-01-2021,12 - 13,"535,76","361,58","535,76","361,58","407,03","361,58","323,66","323,66","535,76","361,58",,,,,,,,,,,,,,
24-01-2021,13 - 14,"475,11","351,25","475,11","351,25","422,12","351,25","329,86","329,86","475,11","351,25",,,,,,,,,,,,,,
24-01-2021,14 - 15,"458,07","351,25","458,07","351,25","458,07","351,25","341,23","341,23","458,07","351,25",,,,,,,,,,,,,,
24-01-2021,15 - 16,"474,49","370,00","474,49","370,00","474,49","370,00","332,86","332,86","474,49","370,00",,,,,,,,,,,,,,
24-01-2021,16 - 17,"537,20","370,00","537,20","370,00","537,20","370,00","334,41","334,41","537,20","370,00",,,,,,,,,,,,,,
24-01-2021,17 - 18,"640,30","375,00","640,30","375,00","640,30","375,00","333,17","333,17","640,30","375,00",,,,,,,,,,,,,,
24-01-2021,18 - 19,"671,50","380,28","671,50","380,28","671,50","380,28","334,82","334,82","671,50","380,28",,,,,,,,,,,,,,
24-01-2021,19 - 20,"649,91","404,97","649,91","404,97","649,91","404,97","341,12","341,12","649,91","404,97",,,,,,,,,,,,,,
24-01-2021,20 - 21,"612,62","413,23","612,62","413,23","612,62","413,23","340,92","340,92","612,62","413,23",,,,,,,,,,,,,,
24-01-2021,21 - 22,"567,16","413,23","567,16","413,23","567,16","413,23","455,00","335,65","567,16","413,23",,,,,,,,,,,,,,
24-01-2021,22 - 23,"537,20","536,17","537,20","536,17","537,20","536,17","537,20","330,59","537,20","536,17",,,,,,,,,,,,,,
24-01-2021,23 - 00,"464,89","455,18","464,89","455,18","464,89","455,18","464,89","323,46","464,89","455,18",,,,,,,,,,,,,,
25-01-2021,00 - 01,"475,22","371,91","475,22","371,91","475,22","371,91","475,22","346,08","475,22","371,91",,,,,,,,,,,,,,
25-01-2021,01 - 02,"431,41","368,90","431,41","368,90","431,41","368,90","336,58","336,58","431,41","368,90",,,,,,,,,,,,,,
25-01-2021,02 - 03,"425,84","370,00","425,84","370,00","425,84","370,00","331,52","331,52","425,84","370,00",,,,,,,,,,,,,,
25-01-2021,03 - 04,"419,02","380,00","419,02","380,00","419,02","380,00","332,03","332,03","419,02","380,00",,,,,,,,,,,,,,
25-01-2021,04 - 05,"427,28","380,00","427,28","380,00","427,28","380,00","335,34","335,34","427,28","380,00",,,,,,,,,,,,,,
25-01-2021,05 - 06,"471,70","375,00","471,70","375,00","471,70","375,00","348,97","348,97","471,70","375,00",,,,,,,,,,,,,,
25-01-2021,06 - 07,"639,99","375,00","639,99","375,00","639,99","375,00","439,47","375,00","639,99","375,00",,,,,,,,,,,,,,
25-01-2021,07 - 08,"723,16","723,16","723,16","723,16","723,16","723,16","341,12","341,12","723,16","723,16",,,,,,,,,,,,,,
25-01-2021,08 - 09,"781,22","781,22","781,22","781,22","781,22","781,22","410,96","410,96","781,22","781,22",,,,,,,,,,,,,,
25-01-2021,09 - 10,"823,05","823,05","823,05","823,05","823,05","823,05","449,08","449,08","823,05","823,05",,,,,,,,,,,,,,
25-01-2021,10 - 11,"774,29","774,29","774,29","774,29","774,29","774,29","454,56","454,56","774,29","774,29",,,,,,,,,,,,,,
25-01-2021,11 - 12,"745,88","423,56","745,88","423,56","589,68","423,56","419,95","419,95","745,88","423,56",,,,,,,,,,,,,,
25-01-2021,12 - 13,"713,03","423,56","713,03","423,56","713,03","423,56","486,17","423,56","713,03","423,56",,,,,,,,,,,,,,
25-01-2021,13 - 14,"692,16","423,56","692,16","423,56","692,16","423,56","486,37","423,56","692,16","423,56",,,,,,,,,,,,,,
25-01-2021,14 - 15,"680,90","680,90","680,90","680,90","867,82","584,21","867,82","486,48","680,90","680,90",,,,,,,,,,,,,,
25-01-2021,15 - 16,"681,94","681,94","681,94","681,94","867,82","495,88","867,82","495,88","681,94","681,94",,,,,,,,,,,,,,
25-01-2021,16 - 17,"695,78","695,78","695,78","695,78","826,16","443,29","826,16","443,29","695,78","695,78",,,,,,,,,,,,,,
25-01-2021,17 - 18,"758,90","758,90","758,90","758,90","421,50","421,50","421,50","421,50","758,90","758,90",,,,,,,,,,,,,,
25-01-2021,18 - 19,"738,65","738,65","738,65","738,65","399,60","399,60","399,60","399,60","738,65","738,65",,,,,,,,,,,,,,
25-01-2021,19 - 20,"672,23","672,23","672,23","672,23","385,34","385,34","385,34","385,34","672,23","672,23",,,,,,,,,,,,,,
25-01-2021,20 - 21,"645,88","645,88","645,88","645,88","495,88","380,17","495,88","380,17","645,88","645,88",,,,,,,,,,,,,,
25-01-2021,21 - 22,"570,88","570,88","570,88","570,88","535,03","380,07","535,03","380,07","570,88","570,88",,,,,,,,,,,,,,
25-01-2021,22 - 23,"619,85","517,78","619,85","517,78","619,85","390,61","619,85","350,11","619,85","517,78",,,,,,,,,,,,,,
25-01-2021,23 - 00,"480,00","418,81","480,00","418,81","480,00","383,58","480,00","338,54","480,00","418,81",,,,,,,,,,,,,,
26-01-2021,00 - 01,"485,00","439,89","485,00","439,89","485,00","439,89","485,00","439,89","485,00","439,89",,,,,,,,,,,,,,
26-01-2021,01 - 02,"480,38","437,20","480,38","437,20","480,38","437,20","480,38","385,24","480,38","437,20",,,,,,,,,,,,,,
26-01-2021,02 - 03,"470,00","435,96","470,00","435,96","470,00","435,96","470,00","344,12","470,00","435,96",,,,,,,,,,,,,,
26-01-2021,03 - 04,"431,62","392,57","431,62","392,57","431,62","392,57","342,16","342,16","431,62","392,57",,,,,,,,,,,,,,
26-01-2021,04 - 05,"455,28","392,57","455,28","392,57","455,28","392,57","341,43","341,43","455,28","392,57",,,,,,,,,,,,,,
26-01-2021,05 - 06,"514,47","392,57","514,47","392,57","514,47","392,57","347,73","347,73","514,47","392,57",,,,,,,,,,,,,,
26-01-2021,06 - 07,"604,97","392,57","604,97","392,57","400,01","392,57","378,83","378,83","604,97","392,57",,,,,,,,,,,,,,
26-01-2021,07 - 08,"730,90","392,57","730,90","392,57","465,20","392,57","440,30","392,57","730,90","392,57",,,,,,,,,,,,,,
26-01-2021,08 - 09,"763,96","402,90","763,96","402,90","490,92","402,90","480,18","402,90","763,96","402,90",,,,,,,,,,,,,,
26-01-2021,09 - 10,"741,03","402,90","741,03","402,90","741,03","402,90","440,40","402,90","741,03","402,90",,,,,,,,,,,,,,
26-01-2021,10 - 11,"763,55","402,90","763,55","402,90","763,55","402,90","381,00","381,00","763,55","402,90",,,,,,,,,,,,,,
26-01-2021,11 - 12,"743,82","418,40","743,82","418,40","496,60","418,40","376,76","376,76","743,82","418,40",,,,,,,,,,,,,,
26-01-2021,12 - 13,"723,16","723,16","723,16","723,16","506,73","506,73","357,76","357,76","723,16","723,16",,,,,,,,,,,,,,
26-01-2021,13 - 14,"680,90","418,40","680,90","418,40","615,41","418,40","383,17","383,17","680,90","418,40",,,,,,,,,,,,,,
26-01-2021,14 - 15,"685,24","402,90","685,24","402,90","540,61","402,90","430,59","402,90","685,24","402,90",,,,,,,,,,,,,,
26-01-2021,15 - 16,"704,04","402,90","704,04","402,90","516,33","402,90","440,30","402,90","704,04","402,90",,,,,,,,,,,,,,
26-01-2021,16 - 17,"710,24","402,90","710,24","402,90","510,03","402,90","420,67","402,90","710,24","402,90",,,,,,,,,,,,,,
26-01-2021,17 - 18,"765,00","459,72","765,00","459,72","510,55","459,72","386,79","386,79","765,00","459,72",,,,,,,,,,,,,,
26-01-2021,18 - 19,"764,48","726,88","764,48","726,88","503,73","503,73","420,67","420,67","764,48","726,88",,,,,,,,,,,,,,
26-01-2021,19 - 20,"655,00","652,39","655,00","652,39","495,05","495,05","416,02","416,02","655,00","652,39",,,,,,,,,,,,,,
26-01-2021,20 - 21,"624,91","624,91","624,91","624,91","506,42","506,42","469,02","469,02","624,91","624,91",,,,,,,,,,,,,,
26-01-2021,21 - 22,"567,47","413,23","567,47","413,23","494,64","413,23","393,09","393,09","567,47","413,23",,,,,,,,,,,,,,
26-01-2021,22 - 23,"527,39","413,23","527,39","413,23","527,39","413,23","356,93","356,93","527,39","413,23",,,,,,,,,,,,,,
26-01-2021,23 - 00,"465,20","465,20","465,20","465,20","465,20","465,20","339,88","339,88","465,20","465,20",,,,,,,,,,,,,,
27-01-2021,00 - 01,"472,89","472,89","472,89","472,89","472,89","472,89","472,89","472,89","472,89","472,89",,,,,,,,,,,,,,
27-01-2021,01 - 02,"455,72","455,72","455,72","455,72","455,72","455,72","387,84","387,84","455,72","455,72",,,,,,,,,,,,,,
27-01-2021,02 - 03,"440,92","440,92","440,92","440,92","440,92","440,92","374,59","374,59","440,92","440,92",,,,,,,,,,,,,,
27-01-2021,03 - 04,"430,26","382,87","430,26","382,87","430,26","382,87","388,04","382,87","430,26","382,87",,,,,,,,,,,,,,
27-01-2021,04 - 05,"436,68","362,17","436,68","362,17","436,68","362,17","436,68","362,17","436,68","362,17",,,,,,,,,,,,,,
27-01-2021,05 - 06,"465,65","362,17","465,65","362,17","465,65","362,17","465,65","362,17","465,65","362,17",,,,,,,,,,,,,,
27-01-2021,06 - 07,"530,32","362,17","530,32","362,17","511,60","362,17","511,60","362,17","530,32","362,17",,,,,,,,,,,,,,
27-01-2021,07 - 08,"641,98","382,87","641,98","382,87","515,63","382,87","515,63","382,87","641,98","382,87",,,,,,,,,,,,,,
27-01-2021,08 - 09,"691,13","386,80","691,13","386,80","691,13","386,80","610,52","386,80","691,13","386,80",,,,,,,,,,,,,,
27-01-2021,09 - 10,"690,00","398,39","690,00","398,39","684,20","398,39","620,35","398,39","690,00","398,39",,,,,,,,,,,,,,
27-01-2021,10 - 11,"734,69","677,47","734,69","677,47","677,47","372,52","677,47","372,52","734,69","677,47",,,,,,,,,,,,,,
27-01-2021,11 - 12,"734,69","682,33","734,69","682,33","682,33","372,52","642,49","372,52","734,69","682,33",,,,,,,,,,,,,,
27-01-2021,12 - 13,"734,69","680,68","734,69","680,68","680,68","372,52","538,29","372,52","734,69","680,68",,,,,,,,,,,,,,
27-01-2021,13 - 14,"682,95","678,19","682,95","678,19","678,19","372,52","547,92","372,52","682,95","678,19",,,,,,,,,,,,,,
27-01-2021,14 - 15,"681,30","398,39","681,30","398,39","681,30","372,52","584,13","372,52","681,30","398,39",,,,,,,,,,,,,,
27-01-2021,15 - 16,"684,61","398,39","684,61","398,39","684,61","362,17","684,61","362,17","684,61","398,39",,,,,,,,,,,,,,
27-01-2021,16 - 17,"681,92","398,39","681,92","398,39","552,26","362,17","552,26","362,17","681,92","398,39",,,,,,,,,,,,,,
27-01-2021,17 - 18,"710,00","414,87","710,00","414,87","515,22","362,17","515,22","362,17","710,00","414,87",,,,,,,,,,,,,,
27-01-2021,18 - 19,"735,00","729,31","735,00","729,31","491,83","362,17","491,83","362,17","735,00","729,31",,,,,,,,,,,,,,
27-01-2021,19 - 20,"703,65","662,16","703,65","662,16","491,31","362,17","491,31","362,17","703,65","662,16",,,,,,,,,,,,,,
27-01-2021,20 - 21,"703,65","617,14","703,65","617,14","488,73","379,76","488,73","379,76","703,65","617,14",,,,,,,,,,,,,,
27-01-2021,21 - 22,"703,65","576,89","703,65","576,89","488,31","381,83","488,31","381,83","703,65","576,89",,,,,,,,,,,,,,
27-01-2021,22 - 23,"677,64","549,47","677,64","549,47","499,70","499,70","499,70","499,70","677,64","549,47",,,,,,,,,,,,,,
27-01-2021,23 - 00,"500,73","500,73","500,73","500,73","492,66","492,66","486,76","486,76","500,73","500,73",,,,,,,,,,,,,,
28-01-2021,00 - 01,"486,85","394,72","486,85","394,72","486,85","394,72","486,85","394,72","486,85","394,72",,,,,,,,,,,,,,
28-01-2021,01 - 02,"466,70","394,72","466,70","394,72","466,70","394,72","466,70","394,72","466,70","394,72",,,,,,,,,,,,,,
28-01-2021,02 - 03,"455,28","370,00","455,28","370,00","455,28","370,00","455,28","370,00","455,28","370,00",,,,,,,,,,,,,,
28-01-2021,03 - 04,"440,42","370,00","440,42","370,00","440,42","370,00","440,42","370,00","440,42","370,00",,,,,,,,,,,,,,
28-01-2021,04 - 05,"453,30","370,00","453,30","370,00","453,30","370,00","453,30","370,00","453,30","370,00",,,,,,,,,,,,,,
28-01-2021,05 - 06,"461,30","370,00","461,30","370,00","461,30","370,00","461,30","370,00","461,30","370,00",,,,,,,,,,,,,,
28-01-2021,06 - 07,"555,93","370,00","555,93","370,00","554,16","370,00","554,16","370,00","555,93","370,00",,,,,,,,,,,,,,
28-01-2021,07 - 08,"660,01","400,00","660,01","400,00","626,46","400,00","626,46","400,00","660,01","400,00",,,,,,,,,,,,,,
28-01-2021,08 - 09,"753,29","400,00","753,29","400,00","744,87","400,00","744,87","400,00","753,29","400,00",,,,,,,,,,,,,,
28-01-2021,09 - 10,"714,96","400,00","714,96","400,00","714,96","400,00","714,96","400,00","714,96","400,00",,,,,,,,,,,,,,
28-01-2021,10 - 11,"703,12","415,49","696,57","415,49","696,57","400,00","696,57","400,00","696,57","415,49",,,,,,,,,,,,,,
28-01-2021,11 - 12,"664,79","425,88","664,79","425,88","589,69","400,00","589,69","400,00","664,79","425,88",,,,,,,,,,,,,,
28-01-2021,12 - 13,"630,92","425,88","630,92","425,88","560,60","400,00","560,60","400,00","630,92","425,88",,,,,,,,,,,,,,
28-01-2021,13 - 14,"624,07","425,88","624,07","425,88","622,30","400,00","622,30","400,00","624,07","425,88",,,,,,,,,,,,,,
28-01-2021,14 - 15,"619,08","399,91","619,08","399,91","619,08","399,91","619,08","399,91","619,08","399,91",,,,,,,,,,,,,,
28-01-2021,15 - 16,"589,06","379,14","589,06","379,14","589,06","379,14","589,06","379,14","589,06","379,14",,,,,,,,,,,,,,
28-01-2021,16 - 17,"592,49","379,14","589,58","379,14","622,51","379,14","622,51","379,14","592,49","379,14",,,,,,,,,,,,,,
28-01-2021,17 - 18,"831,71","394,72","649,83","394,72","649,83","394,72","649,83","394,72","649,83","394,72",,,,,,,,,,,,,,
28-01-2021,18 - 19,"678,91","394,72","678,91","394,72","678,91","394,72","678,91","394,72","678,91","394,72",,,,,,,,,,,,,,
28-01-2021,19 - 20,"630,51","405,10","630,51","405,10","630,51","405,10","630,51","405,10","630,51","405,10",,,,,,,,,,,,,,
28-01-2021,20 - 21,"578,26","415,49","578,26","415,49","578,26","415,49","578,26","415,49","578,26","415,49",,,,,,,,,,,,,,
28-01-2021,21 - 22,"553,64","415,49","553,64","415,49","553,64","415,49","553,64","415,49","553,64","415,49",,,,,,,,,,,,,,
28-01-2021,22 - 23,"529,96","420,69","529,96","420,69","529,96","420,69","529,96","420,69","529,96","420,69",,,,,,,,,,,,,,
28-01-2021,23 - 00,"472,73","415,49","472,73","415,49","472,73","415,49","472,73","415,49","472,73","415,49",,,,,,,,,,,,,,
