,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
02 - 18,"333,68","331,46","331,46","334,21","338,60","344,17","331,97","335,28","334,80","334,80","334,80","331,11","331,11","313,40","344,17","347,88","347,88"
03 - 18,"329,89","325,51","325,51","327,53","327,70","371,16","317,20","320,05","327,02","322,00","322,00","321,33","321,33","309,31","371,22","384,16","384,94"
04 - 18,"323,06","308,62","308,62","308,62","322,66","418,13","269,50","285,80","306,89","306,25","306,53","311,30","311,30","290,59","419,34","420,71","421,28"
05 - 18,"311,78","307,15","307,15","308,81","313,68","350,75","291,35","296,54","308,98","308,60","308,97","307,56","307,56","301,45","350,75","354,10","354,10"
06 - 18,"376,50","382,80","382,80","386,40","407,99","402,18","351,79","396,37","376,11","376,11","376,11","373,19","373,19","308,23","402,18","415,34","416,33"
07 - 18,"344,63","341,93","341,93","343,88","350,42","368,15","334,92","341,50","343,65","343,65","343,65","341,98","341,98","336,09","368,15","372,71","372,71"
08 - 18,"434,12","432,61","432,61","432,85","433,19","455,21","424,66","431,58","402,18","400,75","400,85","432,61","432,61","432,61","455,21","455,21","455,21"
09 - 18,"468,97","514,47","514,47","517,77","517,77","609,97","368,13","515,43","478,11","403,91","405,62","514,47","514,47","514,47","597,97","581,79","581,15"
10 - 18,"416,53","415,54","415,54","415,54","415,86","420,42","400,81","411,60","415,39","415,32","415,39","415,69","415,69","415,54","420,42","435,17","435,17"
11 - 18,"392,09","402,19","402,19","402,19","402,36","403,28","278,00","336,49","402,10","387,18","392,54","402,82","402,82","402,34","403,28","406,25","406,25"
12 - 18,"403,33","402,96","402,96","402,96","407,47","403,25","404,22","408,93","403,35","398,23","400,53","404,30","404,30","403,11","403,10","415,61","415,61"
13 - 18,"408,53","414,30","414,30","414,30","414,30","415,78","384,95","398,38","414,22","402,60","414,22","414,30","414,30","414,30","415,78","418,23","418,23"
14 - 18,"393,99","395,65","395,65","395,65","395,72","396,91","347,98","350,69","397,25","391,47","397,25","398,20","398,20","396,27","396,44","401,04","401,04"
15 - 18,"386,43","388,18","388,18","388,18","388,18","389,05","346,80","347,72","389,60","384,23","389,60","390,44","390,44","390,35","385,31","385,04","385,04"
16 - 18,"379,19","378,97","378,97","378,97","380,39","380,36","375,84","380,03","371,75","371,75","371,75","379,19","379,19","388,17","379,68","379,68","381,68"
17 - 18,"350,34","344,04","344,04","344,04","344,51","394,28","332,90","334,25","346,22","346,22","346,22","346,12","346,12","353,98","385,75","387,61","391,71"
18 - 18,"317,68","294,01","294,01","294,01","298,01","331,70","291,21","305,50","314,46","314,46","316,40","333,68","333,68","348,99","331,70","341,37","341,37"
19 - 18,"238,87","215,46","215,46","215,46","215,46","238,24","265,18","274,01","240,63","240,63","240,63","244,31","244,31","301,26","239,65","246,93","246,93"
20 - 18,"316,86","322,38","322,38","322,38","391,87","418,14","339,18","397,07","305,37","305,37","305,37","319,05","319,05","319,05","418,14","548,68","548,68"
21 - 18,"360,53","357,21","357,21","357,21","411,03","432,36","369,54","412,84","356,86","356,98","356,80","358,08","358,08","358,08","432,36","476,80","476,80"
22 - 18,"404,55","418,29","418,29","420,64","433,13","446,86","430,08","437,10","397,33","397,33","395,01","409,73","409,73","409,73","446,86","483,32","483,32"
23 - 18,"439,80","437,33","437,33","437,33","449,82","493,54","451,12","453,72","436,39","436,39","436,23","439,69","439,69","438,78","510,19","511,23","510,74"
