,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
24 - 18,"432,60","436,23","436,23","436,23","471,30","462,47","430,65","533,89","428,05","428,05","428,05","432,25","432,25","433,89","462,47","495,34","501,53"
25 - 18,"398,25","371,73","371,73","371,73","375,54","390,84","347,25","376,16","399,76","399,76","399,50","411,08","411,08","411,06","399,63","432,20","432,20"
26 - 18,"436,80","434,65","434,65","434,65","468,61","446,61","469,06","483,40","437,26","437,19","435,49","438,63","438,63","435,94","446,61","491,12","491,10"
27 - 18,"471,94","483,20","483,20","483,20","485,17","485,51","467,62","485,23","485,03","470,36","470,26","483,82","483,82","460,19","485,51","492,72","492,72"
28 - 18,"489,25","497,38","497,38","497,38","497,82","505,15","489,98","495,36","497,76","486,73","485,37","497,06","497,06","480,31","507,54","510,96","511,01"
29 - 18,"501,34","505,25","505,25","505,25","505,70","515,48","503,38","505,76","505,97","500,63","500,63","501,59","501,59","494,61","515,48","519,00","519,00"
30 - 18,"506,51","509,02","509,02","510,92","528,29","529,10","518,49","537,36","511,57","503,72","503,72","506,85","506,85","497,61","529,10","535,88","535,88"
31 - 18,"501,66","504,90","504,90","517,85","546,19","567,35","533,86","558,03","517,85","499,43","498,83","504,48","504,48","485,25","567,35","583,45","583,45"
32 - 18,"474,54","481,89","481,89","485,90","512,20","503,38","508,08","515,34","478,41","471,93","471,24","481,67","481,67","463,43","503,38","542,41","542,41"
33 - 18,"476,40","497,33","497,33","498,82","509,22","502,44","518,32","523,32","469,19","469,36","467,48","479,01","479,01","466,79","502,44","554,63","555,42"
34 - 18,"495,13","530,03","530,03","532,22","536,80","532,22","548,59","552,44","486,11","484,50","482,59","483,17","483,17","481,44","530,43","571,11","570,48"
35 - 18,"557,83","580,55","580,55","594,65","594,65","593,32","576,81","594,43","543,90","534,23","538,70","547,57","547,57","530,36","590,76","600,05","597,78"
36 - 18,"568,42","587,39","587,39","591,64","591,64","591,64","585,47","606,18","554,18","554,03","554,18","586,02","586,02","550,16","588,75","620,04","620,03"
37 - 18,"510,91","523,68","523,68","525,01","548,27","526,64","546,02","561,68","496,90","496,90","495,26","515,66","515,66","516,42","526,53","619,33","625,45"
38 - 18,"390,92","413,95","413,95","413,95","423,09","415,09","399,88","430,31","371,32","371,32","367,96","397,27","397,27","410,29","415,08","526,71","526,71"
39 - 18,"353,93","359,56","359,56","359,56","359,56","412,34","368,11","378,18","337,53","337,53","337,53","355,36","355,36","357,68","412,41","507,07","507,07"
40 - 18,"447,11","466,62","466,62","466,62","514,61","478,68","476,00","505,00","437,26","436,77","437,26","443,55","443,55","444,86","478,68","554,66","562,40"
41 - 18,"380,60","387,25","387,25","387,25","462,68","399,80","388,71","470,89","364,31","364,31","363,85","381,60","381,60","419,87","399,80","548,28","548,47"
42 - 18,"397,32","412,32","412,32","412,32","552,96","438,99","568,08","577,45","375,32","375,32","290,38","400,34","400,34","408,31","439,26","545,91","562,54"
43 - 18,"403,61","403,95","403,95","403,95","431,06","439,43","392,03","411,16","399,84","399,84","399,73","399,18","399,18","398,31","439,43","454,55","455,89"
44 - 18,"418,47","418,18","418,18","418,18","435,67","431,07","426,02","431,88","416,65","416,65","416,65","418,45","418,45","417,32","431,07","461,66","461,45"
45 - 18,"438,19","434,21","434,21","460,79","501,25","460,79","500,03","504,16","426,82","426,44","426,28","430,39","430,39","427,06","468,52","509,80","512,55"
46 - 18,"454,12","454,68","454,68","454,84","501,31","456,72","504,13","508,82","449,73","449,73","449,73","449,66","449,66","447,49","511,19","515,22","515,22"
47 - 18,"495,06","496,52","496,52","505,62","572,79","511,67","565,43","577,18","484,27","484,27","482,61","486,02","486,02","468,70","546,21","587,23","587,21"
48 - 18,"493,58","469,20","469,20","518,41","527,00","519,34","509,69","524,32","507,37","507,35","475,35","473,18","473,18","473,18","532,19","541,97","547,57"
49 - 18,"464,11","453,73","453,73","455,14","456,08","476,66","382,19","406,60","464,55","464,42","463,97","465,32","465,32","465,30","500,73","507,60","507,60"
50 - 18,"527,66","523,30","523,30","524,03","543,79","539,97","504,30","552,88","525,05","524,29","519,24","519,87","519,87","496,91","540,52","554,17","557,21"
51 - 18,"548,90","541,36","541,36","548,20","555,20","572,72","544,02","555,78","548,81","548,81","548,81","541,99","541,99","541,99","573,91","578,10","576,22"
52 - 18,"503,38","485,44","485,44","487,43","487,43","490,56","422,91","431,00","513,38","513,38","513,38","498,71","498,71","498,71","491,63","491,63","490,14"
01 - 19,"487,68","448,62","448,62","456,30","458,17","463,72","384,41","386,74","509,18","509,18","504,59","495,81","495,81","495,81","463,82","464,96","460,02"
