,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
01 - 17,"265,79","269,50","269,50","270,01","270,01","376,40","217,55","270,02","265,81","222,00","222,31","269,50","269,50","268,22","376,40","525,47","525,47","376,40"
02 - 16,"324,82","249,28","249,28","366,63","367,00","396,87","288,78","367,05","359,02","289,02","289,02","249,15","249,15","246,03","393,73","585,42","593,57",
03 - 16,"441,37","450,74","450,74","450,74","450,75","508,77","352,13","450,75","430,23","354,88","354,88","450,34","450,34","438,40","502,42","531,56","531,56",
04 - 16,"172,17","164,09","164,09","165,11","165,17","247,03","151,86","158,89","167,58","167,58","167,58","166,98","166,98","165,71","248,18","355,55","360,17",
05 - 16,"173,14","164,94","164,94","166,71","166,71","264,50","151,65","161,90","166,90","166,90","166,90","166,31","166,31","165,92","278,92","300,48","300,48",
06 - 16,"180,67","172,54","172,54","180,03","182,52","258,95","174,38","177,69","175,83","175,83","174,34","176,25","176,25","174,85","293,36","308,90","308,90",
07 - 16,"201,32","193,62","193,62","195,18","206,39","238,41","181,06","199,04","192,73","192,73","192,73","198,67","198,67","186,28","248,35","265,63","265,63",
08 - 16,"200,22","197,84","197,84","197,84","199,69","229,28","191,31","195,12","193,98","193,88","193,92","198,31","198,31","191,50","257,22","257,36","257,36",
09 - 16,"213,72","199,94","199,94","200,04","210,81","256,35","198,41","210,81","199,95","199,95","199,53","199,94","199,94","199,11","271,74","272,37","272,37",
10 - 16,"226,64","224,77","224,77","224,77","226,55","256,73","224,74","226,55","218,04","218,04","218,04","224,77","224,77","208,71","273,93","273,93","273,93",
11 - 16,"205,38","206,24","206,24","206,24","218,43","247,18","206,65","218,43","205,37","205,37","205,37","206,39","206,39","194,46","268,74","268,74","268,74",
12 - 16,"194,07","193,38","193,38","193,38","194,08","259,55","187,45","190,20","192,97","192,97","192,97","193,65","193,65","193,60","292,14","305,04","344,49",
13 - 16,"194,62","192,56","192,56","192,56","202,26","245,65","174,00","191,60","192,20","192,20","192,20","192,56","192,56","192,54","285,06","290,82","290,86",
14 - 16,"202,98","206,13","206,13","206,13","206,78","243,70","205,95","206,78","202,02","201,99","202,03","206,82","206,82","190,59","293,47","293,47","293,64",
