,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
15 - 16,"207,43","207,35","207,35","207,35","207,35","254,79","205,38","207,20","203,95","203,95","204,18","212,63","212,63","192,17","272,60","276,67","305,68",
16 - 16,"198,83","195,77","195,77","195,77","195,77","265,20","194,26","195,77","196,39","196,39","196,44","202,01","202,01","193,19","266,90","272,55","290,97",
17 - 16,"219,11","217,54","217,54","217,74","217,74","262,31","217,21","217,94","217,74","217,74","217,74","218,65","218,65","200,93","264,05","293,32","338,01",
18 - 16,"201,27","202,53","202,53","202,53","202,75","217,24","203,13","204,23","202,53","202,53","202,53","203,86","203,86","193,33","224,15","254,15","255,24",
19 - 16,"210,10","212,75","212,75","212,75","214,01","254,39","211,97","214,44","204,22","204,22","204,22","209,93","209,93","201,63","254,39","279,23","279,23",
20 - 16,"231,52","240,00","240,00","240,00","240,40","289,45","233,58","240,97","218,81","218,81","218,81","238,14","238,14","222,86","289,45","319,77","319,77",
21 - 16,"222,62","224,40","224,40","224,40","224,40","275,30","222,70","253,10","217,60","217,60","217,60","222,99","222,99","215,77","276,18","358,89","365,35",
22 - 16,"221,65","251,57","251,57","252,38","252,38","302,10","244,67","252,60","204,97","204,97","204,47","239,30","239,30","217,05","302,10","347,42","347,59",
23 - 16,"245,41","283,27","283,27","283,27","284,04","316,97","257,02","284,09","219,36","219,36","217,89","277,64","277,64","232,75","319,87","329,04","329,04",
24 - 16,"252,63","296,26","296,26","296,26","296,26","304,36","277,04","296,26","238,58","238,58","237,69","296,57","296,57","233,22","306,24","338,82","338,82",
25 - 16,"251,49","295,70","295,70","295,70","295,70","295,77","272,73","296,38","232,37","232,37","227,24","295,80","295,80","235,74","323,62","419,12","419,12",
26 - 16,"243,24","390,16","390,16","390,16","390,16","392,50","239,21","390,16","211,86","211,86","211,86","284,89","284,89","228,87","392,50","606,54","606,54",
27 - 16,"228,01","262,79","262,79","262,79","262,79","289,14","233,05","262,98","207,26","207,26","206,67","276,56","276,56","233,23","289,14","331,81","331,81",
28 - 16,"233,93","273,25","273,25","273,25","273,25","295,69","240,29","273,23","215,82","215,82","208,30","283,94","283,94","239,47","295,69","298,46","298,46",
29 - 16,"251,15","285,95","285,95","285,95","286,33","286,92","276,96","286,33","232,39","232,39","213,24","284,27","284,27","253,87","286,92","302,52","302,52",
30 - 16,"246,89","278,63","278,63","278,63","281,63","310,51","273,45","281,75","231,68","231,68","209,11","278,63","278,63","250,29","310,51","343,56","381,46",
31 - 16,"230,65","273,73","273,73","273,73","273,73","279,81","233,54","273,73","208,83","208,83","202,51","274,43","274,43","244,32","279,81","354,70","354,70",
32 - 16,"218,10","261,05","261,05","261,05","261,05","281,45","205,47","257,69","186,69","186,69","182,77","258,45","258,45","238,51","281,45","293,87","293,87",
33 - 16,"238,16","295,90","295,90","295,90","295,90","298,30","277,98","295,94","194,98","194,98","194,98","282,81","282,81","240,88","298,30","299,44","299,44",
34 - 16,"242,58","295,61","295,61","295,61","295,79","299,12","287,80","296,04","206,70","206,70","199,03","287,63","287,63","238,90","299,12","305,91","305,91",
35 - 16,"237,65","283,49","283,49","283,92","284,34","290,31","273,95","285,45","215,13","215,13","175,80","265,83","265,83","236,31","290,31","306,60","307,15",
36 - 16,"232,60","272,74","272,74","279,52","280,18","313,82","280,98","286,84","221,50","214,59","184,90","253,39","253,39","232,02","313,82","327,78","327,78",
37 - 16,"232,64","266,13","266,13","266,89","268,01","308,91","252,14","268,01","219,62","217,67","190,17","263,38","263,38","227,12","304,21","306,60","306,60",
38 - 16,"241,35","283,46","283,46","283,46","289,92","297,80","284,57","301,25","219,50","219,12","218,14","277,97","277,97","230,95","297,80","330,43","330,43",
39 - 16,"225,35","241,93","241,93","241,93","251,61","286,72","244,62","302,18","223,33","208,80","208,55","245,57","245,57","226,07","286,72","297,27","297,27",
40 - 16,"254,50","282,08","282,08","282,08","282,08","327,99","249,47","286,01","264,54","242,56","241,98","288,62","288,62","236,74","327,99","340,76","340,28",
41 - 16,"289,12","342,35","342,35","342,35","344,54","342,54","287,69","331,43","315,84","268,38","269,48","328,90","328,90","247,29","342,54","347,42","347,42",
42 - 16,"312,87","333,78","333,78","333,78","347,03","334,43","308,47","350,37","299,48","294,93","297,44","340,21","340,21","253,34","334,43","346,69","347,15",
43 - 16,"332,30","358,25","358,25","358,25","358,30","358,27","346,01","357,68","312,46","311,13","312,42","359,36","359,36","275,92","358,27","358,40","358,40",
44 - 16,"351,95","369,10","369,10","369,10","369,10","369,10","358,67","367,86","354,88","338,20","342,60","370,25","370,25","286,77","368,99","368,99","368,99",
45 - 16,"401,30","446,80","446,80","446,80","446,80","446,80","413,00","446,80","420,44","365,38","375,06","451,13","451,13","300,93","442,60","428,44","428,44",
46 - 16,"338,70","355,83","355,83","355,83","355,83","356,66","273,11","355,83","345,05","319,58","341,15","373,93","373,93","286,42","355,17","354,15","354,14",
47 - 16,"329,36","330,77","330,77","330,77","335,11","331,19","312,82","334,85","322,51","319,58","321,71","350,59","350,59","291,99","331,19","331,19","335,11",
48 - 16,"323,35","337,61","337,61","337,61","337,61","337,61","302,09","328,08","333,82","309,40","316,89","342,22","342,22","268,59","337,34","337,34","337,34",
49 - 16,"297,64","321,38","321,38","321,38","323,13","333,88","297,63","317,30","302,48","278,53","281,71","308,78","308,78","256,16","333,78","336,43","336,43",
50 - 16,"312,72","347,13","347,13","350,18","367,54","364,04","327,94","367,49","333,82","285,70","285,36","319,66","319,66","253,87","364,04","364,33","368,77",
51 - 16,"262,01","254,19","254,19","254,19","279,48","257,38","201,14","242,21","272,41","267,10","267,19","257,93","257,93","249,25","257,91","261,84","281,68",
52 - 16,"254,69","246,23","246,23","246,23","247,87","250,72","175,00","184,45","265,67","264,08","264,24","249,10","249,10","245,84","250,72","250,72","250,72",
