Year,Week,NO1,NO2,NO3,NO4,NO5,NORGE,VASS1,VASS2,VASS3
2016,1,"0,604447662830353","0,859460949897766","0,690135300159454","0,82226550579071","0,717730700969696","0,787559568881989","0,768147587776184","0,822626411914826","0,783688604831696"
2016,2,"0,553101599216461","0,823136746883392","0,645795285701752","0,793934881687164","0,666493475437164","0,748258411884308","0,72486799955368","0,781022846698761","0,751708567142486"
2016,3,"0,498085230588913","0,784124791622162","0,598738133907318","0,766069412231445","0,613146245479584","0,707054436206818","0,678661406040192","0,737342238426208","0,719352304935455"
2016,4,"0,469007551670074","0,776598930358887","0,575593829154968","0,746488392353058","0,598222315311432","0,692156374454498","0,661577761173248","0,733461737632751","0,697973430156708"
2016,5,"0,434514492750168","0,761681437492371","0,547159790992737","0,725663065910339","0,574264585971832","0,671323359012604","0,638609647750854","0,717320144176483","0,676000893115997"
2016,6,"0,395230829715729","0,735570311546326","0,512055933475494","0,701378583908081","0,538583099842072","0,641898155212402","0,606057703495026","0,688512206077576","0,650254428386688"
2016,7,"0,338758766651154","0,705443918704986","0,473709166049957","0,678396224975586","0,501999497413635","0,609498858451843","0,56605476140976","0,660191655158996","0,624596655368805"
2016,8,"0,292457818984985","0,670641601085663","0,438205540180206","0,652902901172638","0,460062086582184","0,574573278427124","0,523959338665008","0,626709282398224","0,598082602024078"
2016,9,"0,251131385564804","0,635119199752808","0,397742450237274","0,626829743385315","0,417309761047363","0,53891110420227","0,483126044273376","0,590615391731262","0,569746434688568"
2016,10,"0,212678074836731","0,596099257469177","0,358086675405502","0,603868186473846","0,371428400278091","0,50224643945694","0,438713192939758","0,554120719432831","0,54336005449295"
2016,11,"0,188914641737938","0,567958414554596","0,341058313846588","0,585738956928253","0,336639434099197","0,476524829864502","0,406862080097198","0,527842104434967","0,526360988616943"
2016,12,"0,170937523245811","0,545026242733002","0,325075089931488","0,567082226276398","0,306245505809784","0,454126477241516","0,378992259502411","0,508159518241882","0,509001195430756"
2016,13,"0,167277097702026","0,525454998016357","0,309745103120804","0,547593951225281","0,278116941452026","0,434371918439865","0,358706593513489","0,487051248550415","0,491118729114532"
2016,14,"0,166318967938423","0,50910621881485","0,293432593345642","0,530693769454956","0,253491193056107","0,417291194200516","0,341198295354843","0,469691783189774","0,474851489067078"
2016,15,"0,16149839758873","0,488451451063156","0,272144138813019","0,512235999107361","0,228260114789009","0,397259443998337","0,321619004011154","0,448298215866089","0,455375641584396"
2016,16,"0,162790820002556","0,471686720848084","0,2572101354599","0,49346336722374","0,212364479899406","0,381631374359131","0,307856440544128","0,432653337717056","0,437252223491669"
2016,17,"0,163321495056152","0,445779502391815","0,235948607325554","0,478939056396484","0,190235316753387","0,361448496580124","0,286982983350754","0,409680217504501","0,420384347438812"
2016,18,"0,193375244736671","0,444356709718704","0,258712142705917","0,484436303377152","0,186895594000816","0,365857005119324","0,290357857942581","0,409269720315933","0,430304259061813"
2016,19,"0,294124722480774","0,469594180583954","0,30052661895752","0,490549266338348","0,199627757072449","0,390967190265656","0,331345975399017","0,42027422785759","0,446115642786026"
2016,20,"0,365842044353485","0,496863335371017","0,328017711639404","0,492902994155884","0,218074649572372","0,413710743188858","0,369401961565018","0,435343742370606","0,454821318387985"
2016,21,"0,510340452194214","0,55587500333786","0,407435059547424","0,527439832687378","0,272423654794693","0,473996728658676","0,45649453997612","0,468795418739319","0,501990377902985"
2016,22,"0,630875825881958","0,643597543239594","0,513778865337372","0,572302579879761","0,392105311155319","0,562254309654236","0,5738285779953","0,544797718524933","0,561610758304596"
2016,23,"0,669785439968109","0,676254689693451","0,544610738754272","0,587378680706024","0,454474806785584","0,597037374973297","0,62275493144989","0,57636547088623","0,580116033554077"
2016,24,"0,695252239704132","0,696949124336243","0,574241816997528","0,615436673164368","0,500716209411621","0,625838756561279","0,65297919511795","0,603547215461731","0,608388245105744"
2016,25,"0,730965137481689","0,728503227233887","0,602608561515808","0,650869846343994","0,565629124641418","0,665004849433899","0,694049298763275","0,647937536239624","0,64052540063858"
2016,26,"0,779950141906738","0,760889530181885","0,633146286010742","0,699628055095673","0,626428961753845","0,707927882671356","0,735844254493714","0,693542838096619","0,682672441005707"
2016,27,"0,785666108131409","0,768938183784485","0,639667689800262","0,723945915699005","0,648141920566559","0,722234785556793","0,745586276054382","0,708173871040344","0,702843368053436"
2016,28,"0,802548348903656","0,783595561981201","0,660265386104584","0,739286303520203","0,688489735126495","0,742986083030701","0,761978149414062","0,741311013698578","0,7188680768013"
2016,29,"0,810882031917572","0,786838829517364","0,67033326625824","0,75207793712616","0,722251892089844","0,75566291809082","0,768571257591248","0,764986634254456","0,73032420873642"
2016,30,"0,830751955509186","0,803874015808106","0,690528690814972","0,767550826072693","0,765386343002319","0,778112232685089","0,78840559720993","0,799667954444885","0,745831787586212"
2016,31,"0,8440962433815","0,819258153438568","0,696756362915039","0,776558399200439","0,785063862800598","0,791811287403107","0,803194403648376","0,817449688911438","0,75457352399826"
2016,32,"0,864155888557434","0,844409763813019","0,737762153148651","0,783914387226105","0,820214629173279","0,816042840480804","0,824452698230744","0,858169257640839","0,76870608329773"
2016,33,"0,867442011833191","0,840544998645782","0,729925453662872","0,78377240896225","0,826282024383545","0,815153002738953","0,825872659683228","0,854229867458344","0,767316520214081"
2016,34,"0,881447553634644","0,842653036117554","0,738935708999634","0,7865110039711","0,856030344963074","0,82450145483017","0,83775395154953","0,86553031206131","0,771588146686554"
