Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5,NO3 > NO5,NO5 > NO3
01-01-2016,00 - 01,0,"2297,5","517,8",0,0,0,"421,7",0,1002,0,0,"248,9",0,0,200,0,0,"1156,8",0,0,,
01-01-2016,01 - 02,0,"2190,3","437,4",0,0,0,"566,5",0,"865,6",0,0,"181,2",0,0,200,0,0,"1068,8",0,0,,
01-01-2016,02 - 03,0,"1976,9","228,8",0,0,0,"652,5",0,"751,1",0,0,"109,3",0,0,200,0,0,995,0,"0,1",,
01-01-2016,03 - 04,0,"1898,7","162,7",0,0,0,"693,8",0,"614,1",0,0,"65,6",0,0,200,0,0,"967,1",0,0,,
01-01-2016,04 - 05,0,1884,"129,4",0,0,0,"722,1",0,"551,5",0,0,"43,5",0,0,200,0,0,"940,5",0,0,,
01-01-2016,05 - 06,0,"2065,5","326,5",0,0,0,"639,9",0,"693,4",0,0,"128,9",0,0,200,0,0,"1042,4",0,0,,
01-01-2016,06 - 07,0,"2086,7",0,0,0,"27,5","775,5",0,"557,7",0,0,0,0,0,250,0,0,"927,7",0,0,,
01-01-2016,07 - 08,0,"1875,8",0,348,0,0,"777,9",0,"395,4",0,0,"43,4",0,"60,7",250,0,0,"905,3",0,0,,
01-01-2016,08 - 09,0,"1550,7",0,"811,6",0,0,"532,6",0,"538,4",0,0,"319,8",0,"393,3",250,0,0,885,0,0,,
01-01-2016,09 - 10,0,"1713,8",0,"700,2",0,0,"494,5",0,"689,6",0,0,359,0,398,250,0,0,"931,5",0,0,,
01-01-2016,10 - 11,0,"1915,7",0,"477,1",0,0,"437,3",0,"884,3",0,0,433,0,389,250,0,0,"1051,6",0,0,,
01-01-2016,11 - 12,0,"2151,7",0,"229,8",0,0,"376,9",0,"1025,7",0,0,492,0,"386,5",250,0,0,"1128,4",0,0,,
01-01-2016,12 - 13,0,"2016,2",0,"321,7",0,0,"285,4",0,"1425,4",0,0,"522,4",0,"362,9",250,0,0,"1209,8",0,0,,
01-01-2016,13 - 14,0,"2319,1",0,0,0,0,"238,5",0,"1280,5",0,0,"534,8",0,"347,7",250,0,0,1261,0,0,,
01-01-2016,14 - 15,0,2297,"120,1",0,0,0,"75,3",0,1532,0,0,"614,6",0,"263,1",250,0,0,"1377,4",0,0,,
01-01-2016,15 - 16,0,"2378,6","370,6",0,150,0,0,"239,6",1532,0,0,"781,1",0,0,250,0,0,"1532,1",0,0,,
01-01-2016,16 - 17,0,"2408,3","575,8",0,150,0,0,"517,5",1532,0,0,"890,9","56,1",0,250,0,0,"1758,8",0,0,,
01-01-2016,17 - 18,0,"2449,6","1037,4",0,150,0,0,"535,7",1532,0,0,900,"79,3",0,250,0,0,"2046,3",0,0,,
01-01-2016,18 - 19,0,"2443,7","870,2",0,150,0,0,"569,3",1532,0,0,900,"131,4",0,250,0,0,"1834,8",0,0,,
01-01-2016,19 - 20,0,"2421,2","548,2",0,150,0,0,"239,5",1532,0,0,"801,2",0,0,250,0,0,"1517,7",0,0,,
01-01-2016,20 - 21,0,"2295,8","494,3",0,128,0,0,0,1532,0,0,"674,4",0,0,250,0,0,"1495,8",0,0,,
01-01-2016,21 - 22,0,2299,"605,5",0,0,0,"21,1",0,1532,0,0,"718,2",0,"174,8",250,0,0,"1439,7",0,0,,
01-01-2016,22 - 23,0,"2129,1","333,8",0,0,0,"269,8",0,1532,0,0,"594,2",0,"322,4",250,0,0,"1266,8",0,0,,
01-01-2016,23 - 00,0,"1816,5",17,0,0,0,"470,5",0,1532,0,0,453,0,"256,6",250,0,0,"1110,5",0,0,,
02-01-2016,00 - 01,0,"2223,8",81,0,0,0,"752,4",0,"1097,2",0,0,145,0,0,250,0,0,"1084,1",0,0,,
02-01-2016,01 - 02,0,2436,"218,1",0,0,"136,8",900,0,"497,3",0,0,"162,9",0,0,250,0,0,"892,9",0,0,,
02-01-2016,02 - 03,0,"2548,9","36,4",0,0,250,900,0,0,"82,7",0,223,0,"158,9",250,0,0,"571,2",0,"0,1",,
02-01-2016,03 - 04,0,"2065,8",0,"743,9",0,250,900,0,0,"664,7",0,"252,6",0,"261,5",250,0,0,"281,8",0,0,,
02-01-2016,04 - 05,0,"2565,5",0,293,0,250,900,0,0,"1202,7",0,"258,9",0,293,250,0,0,246,0,"0,1",,
02-01-2016,05 - 06,0,"2981,3","88,9",0,0,250,900,0,0,1532,0,"248,3",0,"297,2",250,0,0,"284,7",0,0,,
02-01-2016,06 - 07,0,3400,"433,4",0,0,250,900,0,0,1532,0,"264,8",0,"315,4",250,0,0,"389,6",0,"50,3",,
02-01-2016,07 - 08,0,"3331,1","327,2",0,0,250,900,0,0,"1437,3",0,"459,4",0,"443,8",100,0,0,"393,8",0,0,,
02-01-2016,08 - 09,0,"3325,3","729,2",0,0,"74,7",900,0,0,"837,3",0,"471,8",0,450,100,0,0,985,0,0,,
02-01-2016,09 - 10,0,"2778,6",0,"5,8",0,"192,9",900,0,0,"254,1",0,"505,4",0,450,100,0,0,"978,6",0,0,,
02-01-2016,10 - 11,0,3400,"530,9",0,0,"214,2",900,0,0,"665,7",0,"543,9",0,450,100,0,0,"1117,2",0,"49,5",,
02-01-2016,11 - 12,0,3400,"699,7",0,0,"178,2",900,0,0,"846,4",0,"526,4",0,450,100,0,0,"1335,6",0,200,,
02-01-2016,12 - 13,0,3400,"427,9",0,0,250,900,0,0,"934,9",0,"560,5",0,450,100,0,0,"1114,1",0,"96,9",,
02-01-2016,13 - 14,0,3400,"581,3",0,0,250,900,0,0,"825,9",0,"557,4",0,450,100,0,0,"1223,8",0,"165,5",,
02-01-2016,14 - 15,0,3400,"636,5",0,0,250,900,0,0,"835,7",0,"549,5",0,450,100,0,0,"1277,2",0,200,,
02-01-2016,15 - 16,0,3400,"772,8",0,0,"67,6",900,0,0,"893,6",0,"470,6",0,450,100,0,0,"1463,7",0,200,,
02-01-2016,16 - 17,0,3400,"948,6",0,0,0,"526,3",0,0,"759,5",0,"692,2",0,"441,3",100,0,0,"1675,6",0,200,,
02-01-2016,17 - 18,0,3400,"1070,8",0,0,0,"413,4",0,0,"529,7",0,"752,3",0,"345,3",100,0,0,"1727,4",0,200,,
02-01-2016,18 - 19,0,3400,"1169,4",0,0,0,"479,6",0,0,"637,1",0,"705,8",0,"399,3",100,0,0,1698,0,200,,
02-01-2016,19 - 20,0,3400,"1088,1",0,0,0,"764,3",0,0,"844,1",0,"511,3",0,450,100,0,0,"1609,4",0,200,,
02-01-2016,20 - 21,0,3400,"927,5",0,0,0,"892,9",0,0,"927,2",0,"422,5",0,450,100,0,0,"1353,4",0,200,,
02-01-2016,21 - 22,0,3400,"392,3",0,0,"158,4",900,0,0,"1025,2",0,"396,2",0,450,250,0,0,"889,9",0,27,,
02-01-2016,22 - 23,0,"3333,4","460,5",0,0,"147,4",900,0,0,"860,6",0,"407,3",0,450,250,0,0,"848,9",0,0,,
02-01-2016,23 - 00,0,"3183,6","191,3",0,0,"240,1",900,0,0,"1278,2",0,392,0,450,250,0,0,"608,5",0,0,,
03-01-2016,00 - 01,0,3400,919,0,0,250,900,0,0,1532,0,"419,9",0,"339,8",200,0,0,"971,4",0,"265,4",,
03-01-2016,01 - 02,0,3400,"877,5",0,0,250,900,0,0,1532,0,"409,2",0,"340,4",200,0,0,"879,4",0,"177,6",,
03-01-2016,02 - 03,0,"3399,9","874,9",0,0,250,900,0,0,1532,0,"404,6",0,336,200,0,0,"805,4",0,"121,9",,
03-01-2016,03 - 04,0,"3399,9",940,0,0,250,900,0,0,1532,0,"408,1",0,"373,2",200,0,0,"857,5",0,"239,6",,
