Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5
01-01-2013,00 - 01,0,"1155,6",0,952,0,250,1000,0,0,1000,0,"218,1",0,"448,4",200,0,385,0,0,100
01-01-2013,01 - 02,0,1158,0,882,0,250,1000,0,0,1000,0,"233,4",0,450,200,0,"348,4",0,0,100
01-01-2013,02 - 03,0,"1171,7",0,848,0,250,1000,0,0,1000,0,"226,7",0,450,200,0,"343,8",0,0,100
01-01-2013,03 - 04,0,"1190,9",0,860,0,250,1000,0,0,1000,0,"208,8",0,450,200,0,408,0,0,100
01-01-2013,04 - 05,0,"1290,1",0,895,0,250,1000,0,0,1000,0,"209,6",0,450,200,0,"451,2",0,0,100
01-01-2013,05 - 06,0,1391,0,968,0,250,1000,0,0,1000,0,"191,4",0,450,200,0,"481,1",0,0,100
01-01-2013,06 - 07,0,"1399,8",0,1027,0,250,1000,0,0,1000,0,"184,8",0,450,200,0,"474,5",0,0,100
01-01-2013,07 - 08,0,"1351,8",0,1100,0,250,1000,0,0,1000,0,"174,9",0,450,200,0,"483,4",0,0,100
01-01-2013,08 - 09,0,"1331,2",0,1140,0,250,1000,0,0,1000,0,"113,1",0,450,200,0,"443,6",0,0,100
01-01-2013,09 - 10,0,"1302,3",0,1213,0,250,1000,0,0,1000,0,"103,7",0,450,200,0,"486,7",0,0,100
01-01-2013,10 - 11,0,"1092,3",0,1263,0,250,1000,0,0,1000,0,"152,1",0,450,100,0,409,0,0,100
01-01-2013,11 - 12,0,"1224,7",0,1294,0,250,1000,0,0,1000,0,"151,3",0,450,100,0,"427,4",0,0,100
01-01-2013,12 - 13,0,"1226,3",0,1316,0,250,1000,0,0,1000,0,"167,1",0,450,100,0,"408,4",0,0,100
01-01-2013,13 - 14,0,"1154,4",0,1352,0,250,1000,0,0,1000,0,"158,4",0,450,100,0,"408,2",0,0,100
01-01-2013,14 - 15,0,"1222,1",0,1384,0,250,1000,0,0,1000,0,172,0,450,100,0,"437,8",0,0,100
01-01-2013,15 - 16,0,1823,0,"684,8",0,250,1000,0,0,1000,0,"241,7",0,450,100,0,308,0,0,100
01-01-2013,16 - 17,0,1900,0,"514,8",0,0,"973,9",0,0,"671,3",0,"203,2",0,450,100,0,"235,5",0,0,100
01-01-2013,17 - 18,0,"1578,2",0,"133,7",0,0,"314,9",0,0,"453,2",0,"688,8",0,450,100,0,"0,1",0,0,"36,2"
01-01-2013,18 - 19,0,"1620,4","32,9",0,0,0,"191,9",0,"146,8",0,0,"709,8",0,450,100,0,"0,1",0,0,"24,8"
01-01-2013,19 - 20,0,"1448,1",0,"29,1","0,1",0,"230,8",0,"0,2",0,0,"706,4",0,450,100,0,"0,1",0,0,"28,2"
01-01-2013,20 - 21,0,"1039,6",0,792,0,0,"634,9",0,0,"437,8",0,"475,2",0,450,100,0,95,0,0,100
01-01-2013,21 - 22,0,"1219,5",0,"875,5",0,250,1000,0,0,1000,0,"193,8",0,"259,2",100,0,"230,1",0,0,100
01-01-2013,22 - 23,0,"1289,2",0,"769,3",0,250,1000,0,0,780,0,"124,8",0,"117,8",100,0,"189,1",0,0,100
01-01-2013,23 - 00,0,"1160,3",0,1210,0,250,1000,0,0,1000,0,"79,8",0,"323,3",200,0,369,0,0,100
02-01-2013,00 - 01,0,"1354,6",0,1106,0,250,1000,0,0,1000,0,"145,3",0,"301,1",200,0,"374,2",0,0,100
02-01-2013,01 - 02,0,1285,0,1092,0,250,1000,0,0,1000,0,"135,3",0,262,200,0,"329,2",0,0,100
02-01-2013,02 - 03,0,"1381,2",0,1060,0,250,1000,0,0,1000,0,"122,3",0,"252,4",200,0,"358,3",0,0,100
02-01-2013,03 - 04,0,"1406,8",0,"1079,9",0,250,1000,0,0,1000,0,"93,8",0,"208,7",200,0,"394,1",0,0,100
02-01-2013,04 - 05,0,"1790,3",0,631,0,250,1000,0,0,1000,0,"103,4",0,"224,1",200,0,"349,8",0,0,100
02-01-2013,05 - 06,0,1900,0,"441,4",0,"139,5",1000,0,0,1000,0,"93,9",0,0,200,0,"312,5",0,0,100
02-01-2013,06 - 07,0,"1867,2",0,"151,7",0,0,"844,9",0,0,400,0,"189,2","154,9",0,200,0,"124,9",0,0,100
02-01-2013,07 - 08,0,1900,"872,5",0,0,0,0,0,200,0,0,"732,7",0,"201,1",200,0,0,"332,5",0,100
02-01-2013,08 - 09,0,1900,"852,5",0,0,0,0,0,"800,1",0,0,779,0,"230,6",200,0,0,"352,1",0,100
02-01-2013,09 - 10,0,1900,"577,8",0,"111,3",0,0,0,950,0,0,"878,9","0,1",0,200,0,0,"335,5",0,100
02-01-2013,10 - 11,0,1900,"751,8",0,"111,1",0,"73,1",0,950,0,0,900,"0,1",0,100,0,0,"385,4",0,100
