date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,EE,LV,LV,LT,LT,AT,AT,BE,BE,DE-LU,DE-LU,FR,FR,NL,NL
30 - 20,"23,83","59,68","59,68","59,68","247,40","181,98","274,86","287,16","16,15","16,15","16,15","30,81","30,81","30,81",,"296,21",,"324,28",,"324,28",,,,,,,,,,
31 - 20,"17,74","32,83","32,83","70,76","195,71","289,86","216,74","234,69","13,40","13,40","13,40","20,29","20,29","20,29",,"305,28",,"325,51",,"325,51",,,,,,,,,,
32 - 20,"24,07","54,46","54,46","261,85","351,48","388,25","351,66","356,80","12,93","13,75","12,93","27,53","27,53","27,53",,"388,35",,"429,47",,"429,47",,,,,,,,,,
33 - 20,"69,01","128,16","128,16","325,36","419,54","395,96","375,93","423,75","19,44","26,02","15,85","57,47","57,47","56,58",,"397,36",,"430,57",,"430,13",,,,,,,,,,
34 - 20,"104,79","296,98","296,98","440,89","500,86","485,29","337,57","501,69","38,88","40,92","33,37","70,14","70,14","66,97",,"490,98",,"522,77",,"522,77",,,,,,,,,,
35 - 20,"169,94","275,65","275,92","440,28","460,99","460,16","390,32","468,13","75,28","75,28","72,30","106,80","106,80","89,07",,"469,64",,"472,02",,"468,71",,,,,,,,,,
36 - 20,"237,75","375,09","375,09","429,69","452,27","440,90","448,34","460,36","165,93","165,93","165,93","195,64","195,64","128,51",,"449,33",,"456,71",,"454,95",,,,,,,,,,
37 - 20,"180,47","296,83","296,83","338,06","371,12","411,70","349,42","374,58","124,84","124,84","124,84","136,64","136,64","106,03",,"417,77",,"424,07",,"406,55",,,,,,,,,,
38 - 20,"180,15","365,55","365,55","427,18","452,26","438,17","501,32","505,54","103,66","103,66","103,55","98,39","98,39","69,37",,"467,51",,"469,21",,"469,21",,,,,,,,,,
39 - 20,"96,16","183,52","183,52","203,02","219,50","309,78","314,05","318,25","56,05","56,05","51,81","45,54","45,54","20,54",,"342,11",,"342,11",,"342,11",,,,,,,,,,
40 - 20,"98,09","315,26","315,26","316,13","326,92","364,94","329,79","344,01","29,47","29,47","29,24","36,78","36,78","32,84",,"435,09",,"435,09",,"435,09",,,,,,,,,,
41 - 20,"149,89","247,37","247,37","250,33","310,49","364,50","307,00","311,53","103,60","103,60","99,37","97,58","97,58","74,40",,"379,10",,"379,10",,"379,10",,,,,,,,,,
42 - 20,"221,67","319,84","319,84","328,41","376,76","397,28","374,26","382,43","214,78","214,78","206,45","175,76","175,76","140,36",,"419,27",,"419,88",,"419,88",,,,,,,,,,
43 - 20,"190,53","206,95","206,95","264,53","281,01","369,14","276,48","284,34","189,97","189,97","177,38","179,72","179,72","130,30",,"413,28",,"413,28",,"413,28",,,,,,,,,,
44 - 20,"119,75","131,25","131,25","135,81","207,02","232,96","206,39","225,67","115,56","115,56","115,63","113,85","113,85","105,82",,"416,71",,"421,22",,"421,22",,,,,,,,,,
45 - 20,"50,84","42,79","42,79","114,97","198,43","124,28","198,28","232,88","49,55","49,55","50,25","44,06","44,06","44,56",,"400,67",,"400,67",,"400,67",,,,,,,,,,
46 - 20,"71,11","67,08","67,08","385,67","499,09","394,37","380,22","512,48","58,06","58,06","58,06","64,51","64,51","64,43","503,00",,"503,00",,"503,27",,,,,,,,,,,
47 - 20,"22,52","29,46","29,46","150,02","305,59","228,06","81,01","305,59","13,11","13,11","13,11","29,75","29,75","29,79","356,89",,"361,96",,"362,30",,,,,,,,,,,
48 - 20,"111,48","120,57","120,57","303,55","450,11","390,46","357,31","453,57","64,03","64,03","64,03","78,06","78,06","76,32","482,25",,"482,25",,"484,62",,,,,,,,,,,
49 - 20,"193,38","168,41","168,41","464,57","518,12","465,40","445,25","558,94","178,87","178,87","178,87","125,80","125,80","116,49","554,87",,"554,87",,"565,44",,,,,,,,,,,
50 - 20,"246,31","215,97","215,97","464,27","496,07","541,47","487,74","506,76","268,62","268,62","245,03","149,74","149,74","142,65","549,40",,"549,40",,"561,31",,,,,,,,,,,
51 - 20,"239,75","230,50","230,50","348,64","400,66","533,43","307,09","408,88","216,42","216,42","216,31","169,76","169,76","154,18","572,52",,"542,94",,"562,30",,,,,,,,,,,
52 - 20,"157,37","149,62","149,62","169,17","236,92","230,71","192,91","244,52","171,19","171,32","171,20","132,45","132,45","131,41","338,25",,"338,25",,"339,25",,,,,,,,,,,
